mse:0.9891934394836426, mae:0.7268090844154358
mse:0.8668164014816284, mae:0.6018214225769043
mse:0.4937789738178253, mae:0.40832534432411194
mse:0.7590410113334656, mae:0.7031956315040588
mse:0.8256514668464661, mae:0.5929417610168457
mse:0.6897621154785156, mae:0.5594077110290527
mse:0.8915814161300659, mae:0.5544624924659729
mse:0.5304574966430664, mae:0.42399919033050537
mse:0.37584978342056274, mae:0.3662971556186676
mse:0.8903487920761108, mae:0.6498043537139893
mse:0.4753081500530243, mae:0.3951270878314972
mse:0.4425029158592224, mae:0.3813400864601135
mse:0.7965552806854248, mae:0.44248172640800476
mse:0.47257524728775024, mae:0.4056690037250519
mse:0.5412313938140869, mae:0.4359189569950104
mse:0.005513485986739397, mae:0.06552870571613312
mse:0.4825079143047333, mae:0.44193747639656067
mse:0.6971601843833923, mae:0.4542085528373718
mse:0.7489773631095886, mae:0.4202430844306946
mse:0.766463041305542, mae:0.2848842144012451
mse:1.030623197555542, mae:0.6846283674240112
mse:1.3962277173995972, mae:0.756251335144043
mse:0.8547906279563904, mae:0.5266920328140259
mse:0.7334126234054565, mae:0.4780258238315582
mse:0.7536161541938782, mae:0.5431169867515564
mse:0.3942902386188507, mae:0.36908549070358276
mse:0.4148411750793457, mae:0.37986430525779724
mse:0.2612264156341553, mae:0.30105412006378174
mse:0.4804082214832306, mae:0.411582887172699
mse:0.5043032169342041, mae:0.4068353474140167
mse:0.46772536635398865, mae:0.3990771770477295
mse:0.33838388323783875, mae:0.3458223342895508
mse:0.403571218252182, mae:0.37752971053123474
mse:0.3371080458164215, mae:0.3436391353607178
mse:0.34925413131713867, mae:0.3526895046234131
mse:0.35322627425193787, mae:0.3402581512928009
mse:0.6957712173461914, mae:0.3412695825099945
mse:0.5806000828742981, mae:0.45725321769714355
mse:0.6329114437103271, mae:0.31833308935165405
mse:0.4858590066432953, mae:0.3026120364665985
mse:0.5466042160987854, mae:0.3293507993221283
mse:1.1269198656082153, mae:0.6388658285140991
mse:0.6020200252532959, mae:0.35199809074401855
mse:0.9489921927452087, mae:0.5887390971183777
mse:0.9746871590614319, mae:0.515192449092865
mse:0.573298990726471, mae:0.27831876277923584
mse:0.5708610415458679, mae:0.3359556794166565
mse:1.241231918334961, mae:0.6752199530601501
mse:0.591074526309967, mae:0.3473453223705292
mse:0.5603023171424866, mae:0.28355732560157776
mse:0.7050704956054688, mae:0.6133678555488586
mse:0.6227126717567444, mae:0.3108201026916504
mse:0.7834189534187317, mae:0.42626941204071045
mse:0.5156341791152954, mae:0.3090916574001312
mse:0.3886312246322632, mae:0.3106016218662262
mse:0.9998156428337097, mae:0.5706767439842224
mse:1.0918608903884888, mae:0.7411438226699829
mse:0.7325971722602844, mae:0.3234957158565521
mse:0.8742880821228027, mae:0.47000357508659363
mse:0.2876173257827759, mae:0.2685440182685852
mse:0.5874704122543335, mae:0.454786092042923
mse:0.7346135973930359, mae:0.35247108340263367
mse:1.141700267791748, mae:0.6216313242912292
mse:0.4310971796512604, mae:0.32382437586784363
mse:0.8142364621162415, mae:0.440388560295105
mse:0.06431183218955994, mae:0.16225554049015045
mse:0.9712759256362915, mae:0.49557462334632874
mse:0.02568995952606201, mae:0.08740328997373581
mse:0.28504475951194763, mae:0.35429850220680237
mse:0.9973044991493225, mae:0.4097166657447815
mse:0.46079131960868835, mae:0.36209359765052795
mse:0.005053466651588678, mae:0.04142355918884277
mse:0.4089488089084625, mae:0.2836563289165497
mse:0.9758144021034241, mae:0.4992377758026123
mse:0.4703649878501892, mae:0.17704008519649506
mse:0.3167658746242523, mae:0.2822226285934448
